source,target
4538,1409
4882,1219
3925,2872
964,3050
4417,3334
1123,828
3258,342
4047,1522
2295,4432
213,1546
1070,443
3913,1707
826,3466
3720,2066
2071,1691
2410,1157
2775,346
4958,3284
660,1484
1219,3168
2931,105
448,1039
2070,2220
4701,1938
3337,4930
2181,2990
2191,3678
3306,3365
1064,2476
1057,1305
1098,2060
1432,1182
659,4642
1031,84
2705,1455
2777,3021
4102,4238
1958,474
65,3903
3420,3652
505,4175
443,3297
3112,3499
303,284
2166,3806
4387,3818
2768,2908
2052,486
1950,2461
4011,4470
4283,2714
1148,1773
704,4011
3663,3006
4152,3951
1395,1650
3384,2093
3126,3555
925,2667
3449,2488
2885,460
739,33
264,706
3963,265
4128,2776
3286,4187
4618,2411
1973,4515
2785,229
474,1455
1028,2795
847,505
3713,3473
3486,4248
1187,573
3494,1857
1157,4114
3619,805
4393,199
131,1466
1932,4864
3176,235
583,4781
3477,3381
1646,4278
2527,2041
3826,1283
4691,795
3044,3499
859,3898
1325,2385
3671,3597
4065,518
59,2502
3724,225
1210,1846
4806,3936
647,2672
2194,2016
4035,2561
3967,3366
2374,671
2470,1133
2669,4726
489,4715
3151,3746
4742,3362
974,1754
917,1220
193,4572
1220,4412
2376,4100
4828,1601
2022,3602
4697,2838
1801,1159
4612,4420
2186,1724
4416,344
4550,3542
4543,2371
1717,2185
4673,1663
344,1708
523,3925
862,3391
652,1861
1547,3494
1835,4126
3886,1283
2275,3644
4624,4430
2392,4983
3703,1576
4653,2916
372,2975
4037,698
3859,2089
3790,4204
1517,1750
1983,3243
1515,1677
4376,4301
135,29
1038,1523
3350,899
4186,1171
2969,3459
3991,703
1511,1154
4713,4071
2414,2648
2283,3885
1472,4609
3867,2330
1623,4778
124,1718
3515,1124
1565,4773
1985,2915
3387,1878
3605,1017
3661,4332
2950,2254
780,3685
1952,3906
1860,4317
24,4870
4480,3846
4685,868
387,2478
1727,4727
82,2596
1854,338
450,548
706,4675
4966,4493
4690,4595
314,4824
262,4634
3987,2408
4026,2336
4203,720
4146,186
3401,32
1997,242
2280,2782
1966,4312
870,2423
3322,678
2678,576
183,1493
2180,1797
3326,797
2668,4769
393,2242
3349,1720
1225,2772
4196,4036
3253,4641
4285,2573
890,15
1351,4574
334,2012
893,3696
2003,3039
3904,2881
1566,2284
4994,4201
3554,4754
1997,2470
4988,4386
341,1678
2562,1690
309,2140
3700,1546
4706,4673
4510,597
3954,2594
1647,1310
2056,17
779,2254
717,1376
4380,4688
3633,3707
300,2027
432,1392
4312,3241
3790,4822
4664,1414
3671,3410
1641,714
309,2490
2237,4909
2548,3081
681,1315
444,1402
1240,2999
4676,1424
4403,3709
4958,1487
4643,2415
3435,285
3868,3550
2366,3225
1068,4585
929,1043
3647,1861
3433,2841
2764,3271
1613,1675
2203,4924
4629,1204
2449,1947
405,1797
1084,2085
2450,4801
1648,4113
1765,4698
3359,1579
642,4369
735,396
3608,4535
2667,305
1335,2835
2734,1527
4385,1194
421,2680
1140,1613
2138,715
954,3143
2504,2004
1167,4190
2098,1316
1485,2779
4904,3479
3904,4304
102,3866
850,2039
521,3261
3654,4129
2076,2466
3962,2030
1909,4046
2623,2635
3936,809
4956,2888
109,4256
1188,2034
1074,4376
3428,1342
4997,3643
4926,4931
310,1536
2529,721
4733,4536
3360,649
11,4852
2067,2353
1785,3421
3306,3796
3426,1646
3431,2744
3830,2261
1469,4124
2899,2883
4575,917
3334,2811
3554,111
3671,1450
1714,1676
4940,4987
4974,3817
4537,810
2732,676
3265,3391
3974,2390
1823,1619
3791,3437
3375,1307
1818,1275
4319,2802
3034,1014
24,4683
1268,54
3876,4484
149,3631
2190,100
882,18
3657,3622
887,362
3693,3279
2917,3812
3166,352
298,721
4183,2914
3940,3156
3438,2006
3871,1107
1352,2384
727,2332
4120,1811
1933,1383
2994,4217
3863,465
661,1712
1564,3206
2691,4408
2440,625
3864,1067
1560,54
3924,1872
684,2635
3578,1235
4137,2919
214,3652
2117,911
3214,3402
4329,3089
2462,1323
1624,978
3140,1009
3179,4347
1713,3679
3485,1421
2941,799
4441,297
2949,4824
4341,3099
3286,3463
791,2882
4075,1637
1730,4033
3447,2068
861,1369
608,3929
4038,2509
2629,2375
387,1486
2973,2185
3131,3525
2658,861
4442,118
4999,1729
1847,2339
3803,2642
1592,1066
3498,2006
1008,1769
3036,3638
4314,4255
3893,2535
1188,424
852,475
1695,1918
845,3468
1875,573
3494,1483
4320,1067
4447,2340
4416,775
866,1312
2154,2617
1801,4973
920,794
3788,425
3485,616
1177,2113
2729,1801
2238,4947
4129,4101
2293,4654
1455,1303
3530,3018
4748,174
4309,2756
2726,1503
4873,4784
2093,1590
2380,866
4369,1309
3632,262
2068,3223
4652,3095
3439,621
4559,652
4464,3798
4495,3111
1666,4906
2781,4593
2977,2253
1260,4218
3257,4522
630,3822
2211,1996
232,743
2601,2905
2064,2700
2150,4726
3239,2438
3547,1093
4121,3809
4238,4394
759,2889
2177,133
224,101
4926,2516
566,3248
1335,2298
3329,2331
2365,2813
2205,1400
3387,2309
2014,1832
3459,1623
2449,1760
2232,3223
2428,883
3854,4404
2928,1206
3446,637
2637,4440
1799,4095
4378,617
4544,1818
2324,3162
4041,1197
4974,4785
4685,4682
4212,2018
3816,2018
915,2247
3809,847
4862,3820
2214,2243
768,2951
2972,1104
1136,1657
478,3377
3675,1786
187,2447
2752,2269
4548,4569
3891,98
1282,4111
2650,1992
4448,955
561,2099
4754,2193
4924,884
4666,94
1653,82
2831,3501
2800,1936
2235,437
399,236
3382,4543
1742,2002
149,61
2738,4441
4722,376
140,2227
2879,3168
4587,4123
4129,2491
2606,1289
1914,4179
1795,2767
4751,2245
16,3854
1941,1838
3226,4380
2027,1612
2154,2885
946,755
2162,1248
3674,3789
4637,3836
3742,2203
2004,3291
4337,3544
4426,2835
446,3034
1437,965
2987,3990
1368,3080
967,1982
1741,1376
2794,185
273,4045
1393,4076
961,4419
2697,252
3817,283
957,4677
4472,1675
893,2972
3006,1007
2892,4103
3076,248
956,1042
1171,2162
4280,4888
1735,4190
2514,3928
4257,932
2354,263
206,3173
2506,3286
2754,1136
1599,4302
1630,3615
2727,1942
1851,2271
15,2824
5,2136
10,2480
3210,4570
3344,1352
1687,3368
4455,3549
1530,3384
2311,3949
969,873
788,2747
1710,2039
4017,3323
4641,3150
2803,624
2961,4216
318,2983
1984,329
748,2567
593,4908
1498,813
2121,38
739,4733
4262,3504
3973,3401
1832,3318
583,1187
2692,2486
2196,4534
2758,3483
3534,3704
1163,715
789,4446
4779,2683
3445,3632
3875,3216
3216,4334
1414,1465
2811,84
3585,3642
166,2188
4237,1353
4271,183
2811,3467
779,4108
4666,712
4227,4048
1873,2918
66,1957
3397,558
3930,3273
995,2420
4259,2051
1714,2107
3352,3067
4128,3288
2368,2897
1495,2743
4699,71
3319,675
3641,3170
172,2383
4253,2236
4380,3509
433,438
4934,4849
2673,500
1429,2123
2857,2307
4561,137
1244,2343
47,402
2913,3370
1072,3579
270,2137
2639,4299
53,3600
2226,2440
3506,3884
10,520
3010,270
3660,1318
1074,619
2621,2969
2813,3139
3193,2606
3315,4289
4425,2878
815,2610
3834,2410
4641,1190
2287,814
4424,3407
2710,4889
946,4756
3525,4284
1971,1517
1243,4750
599,4648
4787,4398
652,3528
4971,543
1120,3596
4142,661
2917,3088
3240,2021
2760,4602
1425,1199
3916,4290
2916,2863
1181,4222
4191,3182
1877,727
4060,4419
4123,2489
4747,4568
3503,2781
4647,954
1973,4572
4265,4824
3377,4362
4826,3171
94,2045
104,2733
1933,1009
2210,3761
3079,9
4897,4512
3156,1919
2060,784
415,4315
1564,2832
377,1579
2307,661
1118,4997
3389,4372
183,3965
379,1625
1430,3771
750,4012
621,1158
4038,1785
3086,3782
433,1861
2766,2114
4109,3880
1867,2991
114,3047
4752,3757
1209,4711
4215,4306
457,3386
2819,4377
703,409
264,2991
4247,2309
145,1579
324,3796
3994,1863
2385,1641
3283,2791
4121,3890
4659,4697
1631,3653
3876,3305
669,4208
3845,1740
2792,3685
605,2503
2808,4218
913,404
1108,1626
3065,4783
474,3740
4461,3958
231,3982
3593,4902
4147,2078
2168,71
661,3566
1786,3941
4217,565
2252,3182
569,3977
1345,34
70,3098
4705,3537
2470,4573
3550,1041
4799,920
2803,3470
726,928
1412,4639
3833,575
2551,2468
4824,2670
4206,3789
1152,3022
847,3140
2464,3223
1836,3654
310,2935
621,353
335,3931
3237,3146
1551,4424
1215,4475
155,4495
2731,4506
1511,861
3606,1700
1708,1375
3217,4399
3535,2988
4533,2090
1076,4316
4806,3188
4589,4651
1162,4090
3759,1915
566,2524
1888,3413
4830,4713
3803,1463
764,230
1507,3721
93,3243
4174,3096
